run_id,subject,delivery,study,prompt_id,skill,rep,triggered,outcome_ok,cost_usd,tokens_in,tokens_out,tool_invocations,turns,wall_s,timing_valid,format_adherence,scope_discipline,honesty
claude-haiku__inline__F1__r1,claude-haiku,inline,work,F1,tiered-feature,1,True,True,0.0321054,66842,1503,5,6,16.98,True,2,2,2
claude-haiku__inline__F1__r2,claude-haiku,inline,work,F1,tiered-feature,2,True,True,0.0418124,113889,2143,7,8,25.2,True,2,2,2
claude-haiku__inline__F2__r1,claude-haiku,inline,work,F2,tiered-feature,1,True,True,0.033257600000000005,89119,1337,5,6,17.07,True,2,2,2
claude-haiku__inline__F2__r2,claude-haiku,inline,work,F2,tiered-feature,2,True,True,0.059188199999999996,193369,3493,7,8,40.43,True,2,2,2
claude-haiku__inline__F3__r1,claude-haiku,inline,work,F3,tiered-feature,1,True,True,0.06432220000000001,261598,3111,10,11,38.1,True,2,2,2
claude-haiku__inline__F3__r2,claude-haiku,inline,work,F3,tiered-feature,2,True,True,0.0374891,112365,1617,6,7,19.34,True,2,2,2
claude-haiku__inline__G1__r1,claude-haiku,inline,work,G1,tiered-guidance,1,True,True,0.0680379,286749,3241,13,14,37.12,True,1,2,2
claude-haiku__inline__G1__r2,claude-haiku,inline,work,G1,tiered-guidance,2,True,True,0.0663144,282960,3118,11,12,39.89,True,2,2,2
claude-haiku__inline__G2__r1,claude-haiku,inline,work,G2,tiered-guidance,1,True,True,0.0652821,281961,2987,11,12,36.32,True,2,2,2
claude-haiku__inline__G2__r2,claude-haiku,inline,work,G2,tiered-guidance,2,True,True,0.071807,331526,3161,13,14,52.18,True,1,2,2
claude-haiku__inline__G3__r1,claude-haiku,inline,work,G3,tiered-guidance,1,True,True,0.0721398,331321,3191,13,14,38.72,True,2,2,2
claude-haiku__inline__G3__r2,claude-haiku,inline,work,G3,tiered-guidance,2,True,True,0.0625212,235932,3337,9,10,31.79,True,1,2,2
claude-haiku__inline__H1__r1,claude-haiku,inline,branch,H1,harness-stamp,1,True,True,0.0255035,43464,975,3,4,13.14,True,2,2,2
claude-haiku__inline__H1__r2,claude-haiku,inline,branch,H1,harness-stamp,2,True,True,0.028933399999999998,66065,1092,4,5,14.04,True,2,2,2
claude-haiku__inline__H2__r1,claude-haiku,inline,branch,H2,harness-stamp,1,True,True,0.028947700000000003,65926,1125,4,5,14.08,True,2,2,2
claude-haiku__inline__H2__r2,claude-haiku,inline,branch,H2,harness-stamp,2,True,True,0.028973,66051,1104,4,5,14.68,True,2,2,2
claude-haiku__inline__R1__r1,claude-haiku,inline,work,R1,tool-gated-review,1,True,True,0.05602655000000001,137483,1900,6,6,36.89,True,2,2,2
claude-haiku__inline__R1__r2,claude-haiku,inline,work,R1,tool-gated-review,2,True,True,0.058556150000000015,112276,1542,5,5,23.01,True,2,2,2
claude-haiku__inline__R2__r1,claude-haiku,inline,work,R2,tool-gated-review,1,True,True,0.05555734999999999,136086,1729,6,6,37.27,True,2,2,2
claude-haiku__inline__R2__r2,claude-haiku,inline,work,R2,tool-gated-review,2,True,False,0.0426653,88747,1261,5,5,22.74,True,2,2,2
claude-haiku__inline__R3__r1,claude-haiku,inline,work,R3,tool-gated-review,1,True,True,0.0463754,112173,1486,4,5,29.82,True,2,2,2
claude-haiku__inline__R3__r2,claude-haiku,inline,work,R3,tool-gated-review,2,True,True,0.061901750000000005,94097,955,5,4,29.12,True,2,2,2
claude-haiku__inline__T1__r1,claude-haiku,inline,branch,T1,tier-stamp,1,True,True,0.0275391,65670,894,4,5,11.8,True,2,2,2
claude-haiku__inline__T1__r2,claude-haiku,inline,branch,T1,tier-stamp,2,True,True,0.0251135,43442,902,3,4,11.92,True,2,2,2
claude-haiku__inline__T2__r1,claude-haiku,inline,branch,T2,tier-stamp,1,True,True,0.0273258,65663,853,4,5,11.11,True,2,2,2
claude-haiku__inline__T2__r2,claude-haiku,inline,branch,T2,tier-stamp,2,True,True,0.027187700000000002,65619,835,4,5,10.26,True,2,2,2
claude-haiku__inline__V1__r1,claude-haiku,inline,branch,V1,vendor-stamp,1,True,True,0.0278748,65738,948,4,5,11.88,True,2,2,2
claude-haiku__inline__V1__r2,claude-haiku,inline,branch,V1,vendor-stamp,2,True,True,0.0333438,89045,1396,4,5,17.43,True,2,2,2
claude-haiku__inline__V2__r1,claude-haiku,inline,branch,V2,vendor-stamp,1,True,True,0.0282392,65883,991,4,5,12.59,True,2,2,2
claude-haiku__inline__V2__r2,claude-haiku,inline,branch,V2,vendor-stamp,2,True,True,0.0300488,87712,932,4,5,12.69,True,2,2,2
claude-haiku__native__F1__r1,claude-haiku,native,work,F1,tiered-feature,1,False,False,0.029216900000000004,86390,892,3,4,11.19,True,0,2,2
